seed,standardized,kmeans,fixed_h1,fixed_h1_iter,fixed_h1_status,meanV,meanV_h,adaptive_response,adaptive_h_final,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_response,frozen_h,frozen_iter,frozen_status,frozen_cycle_period,clusterwise_response,clusterwise_h,clusterwise_iter,clusterwise_status,clusterwise_cycle_period,oracle_grid,oracle_h,plateau_h_low,plateau_h_high,plateau_factor,adaptive_in_plateau,frozen_in_plateau,frozen_plateau_log_position
1744,0,0.8196246700626066,0.9628532479276593,3,converged,0.9546794243967207,1.8750766877420766,0.9792225042603023,0.792275943825575,3,converged,0,2,0.9751135734275922,0.6983951048963124,3,converged,0,0.9342812182669963,0.642072887444;0.197855605537;0.937368121758,9,cycle,2,0.9875261750660476,0.47838255981657885,0.45868750607341185,0.669642114548647,1.459909209825899,0,0,1.1111111111111098
1745,0,0.8519003750257929,0.9710930643312513,2,converged,0.9589106595771958,1.8744023123149631,0.9834001506287179,0.792275943825575,3,converged,0,2,0.9875261022757021,0.7283826867309402,2,converged,0,0.983426893328434,1.31213222197;0.977616690317;0.669642114549,5,converged,0,0.9958304277669653,0.5659903788217326,0.5426885031570269,0.6420728874435022,1.1831333881376118,0,0,1.7499999999999991
1746,0,0.8599251969345056,0.9792139817585612,3,converged,0.95484294295553,1.8791286217670173,0.9874915022789261,0.792275943825575,2,converged,0,2,0.9874915022789261,0.7283826867309402,2,converged,0,0.9342081369338989,0.224452083812;0.669642114549;0.937368121758,29,cycle,20,0.9874915022789261,0.7283826867309402,0.669642114548647,0.9373681217582767,1.399804614125984,1,1,0.2499999999999993
1747,0,0.8750066847671019,0.9750791913268728,2,converged,0.9424004435169516,1.8734137907207054,0.9792047313461062,0.792275943825575,3,converged,0,2,0.9833479224712833,0.7596578707523303,3,converged,0,0.8036228587425552,0.937368121758;0.669642114549;0.0853453388728,8,converged,0,0.9916782407407407,0.669642114548647,0.6420728874435022,0.7283826867309402,1.1344236783320532,0,0,1.3333333333333355
1748,0,0.8023224335569166,0.958715809740708,3,converged,0.9506623089030556,1.8787602055742312,0.9751742882669169,0.792275943825575,2,converged,0,2,0.9751742882669169,0.7283826867309402,2,converged,0,0.8151834335410404,0.0609694653179;0.977616690317;0.642072887444,20,cycle,5,0.9792743680766341,0.669642114548647,0.5426885031570269,0.792275943825575,1.459909209825899,1,1,0.777777777777778
1749,0,0.8283402163511165,0.9834006349494748,3,converged,0.975176026559507,1.8767600775873379,0.9875261022757021,0.792275943825575,2,converged,0,2,0.9875261022757021,0.7283826867309402,2,converged,0,0.8040033083528131,0.0145990920983;0.669642114549;0.977616690317,16,cycle,4,0.9875263206441901,0.792275943825575,0.669642114548647,0.9776166903168593,1.4599092098258988,1,1,0.22222222222222143
1750,0,0.8409659533583939,0.954780047175925,3,converged,0.9384575641159643,1.8739747703759744,0.9750971814607139,0.792275943825575,2,converged,0,2,0.9709970633247595,0.7283826867309402,3,converged,0,0.9026007690961786,0.977616690317;0.0609694653179;0.669642114549,8,converged,0,0.9875000974583775,0.6156386879399105,0.5902927868477004,0.6420728874435022,1.0877193517344494,0,0,2.500000000000004
1751,0,0.8239927679508131,0.9668987571113438,3,converged,0.9465370547876998,1.8748063582383299,0.9875000974583775,0.792275943825575,2,converged,0,2,0.9875000974583775,0.7283826867309402,2,converged,0,0.975176026559507,1.31213222197;0.669642114549;0.977616690317,7,cycle,2,0.9875263206441901,0.5426885031570269,0.45868750607341185,0.7596578707523303,1.6561555758415378,0,1,0.9166666666666663
1752,0,0.8212837655470869,0.9875263206441901,3,converged,0.9834006349494748,1.876745692775903,0.9958304277669653,0.792275943825575,3,converged,0,2,0.9916695602776322,0.6983951048963124,3,converged,0,0.946375706645938,0.1145483401;0.977616690317;0.669642114549,18,cycle,2,0.9958304277669653,0.7283826867309402,0.6983951048963124,0.8262945667146969,1.1831333881376118,1,1,0.0
1753,0,0.8571485347720156,0.9668279639164103,2,converged,0.9586306985372737,1.8782395441221753,0.9750970361492652,0.792275943825575,3,converged,0,2,0.9709980787153847,0.7283826867309402,2,converged,0,0.816881367302777,0.642072887444;0.977616690317;0.0853453388728,7,converged,0,0.9750970361492652,0.792275943825575,0.7283826867309402,0.792275943825575,1.0877193517344497,1,1,0.0
